Rater;2040_M;4042_M;4090_M;4120_M;4130_M;4170_M;4200_M;6060_M;6080_M;7040_M;7060_M;7070_M;7090_M;7100_M;8010_M;8020_M;8030_M;8040_M;8050_M;8060_M;8070_M;8080_M;8090_M;8100_M;8110_M;9010_M;9012_M;9013_M;9020_M;9022_M;9023_M;9030_M;9032_M;9033_M;9040_M;9042_M;9043_M;9050_M;9052_M;9053_M;9060_M;9062_M;9063_M;9070_M;9072_M;9073_M;9082_M;9083_M;9102_M;9112_M
CZ16_M_masc55;5;4;5;2;3;4;3;5;3;3;4;3;4;5;6;4;3;4;3;5;4;2;4;3;4;2;3;5;2;3;4;5;3;5;5;3;5;3;5;4;6;4;5;3;7;5;3;3;5;5
CZ16_M_masc56;3;2;4;3;3;3;3;6;3;3;6;4;5;5;7;3;3;5;1;5;3;1;2;1;3;2;3;4;4;3;2;4;5;2;4;2;3;3;4;2;6;5;4;4;7;2;3;5;4;3
CZ16_M_masc57;3;3;3;1;2;2;5;2;2;2;2;1;2;2;2;4;1;3;1;3;2;1;2;1;3;2;1;3;1;1;1;3;1;3;4;1;3;1;3;1;3;4;1;2;6;1;1;2;3;3
CZ16_M_masc58;5;6;4;4;6;6;5;6;4;5;5;4;4;4;5;5;3;5;5;3;5;5;3;3;4;2;3;5;2;2;5;3;6;3;5;5;5;4;2;3;5;6;4;4;7;5;4;3;5;4
CZ16_M_masc59;3;4;6;4;3;3;6;6;2;5;4;5;3;3;3;3;5;6;4;5;3;4;6;2;5;3;4;4;4;2;6;3;3;3;3;3;5;5;5;3;5;4;2;4;7;5;3;5;3;5
CZ16_M_masc60;5;5;5;3;2;5;6;6;2;3;4;2;7;3;5;4;2;6;5;6;3;4;4;1;6;2;1;7;3;2;3;4;2;5;4;2;5;3;5;1;3;5;4;5;7;4;2;3;6;4
CZ16_M_masc61;4;6;4;4;4;5;5;6;4;4;3;4;5;4;5;5;4;5;4;4;3;3;2;3;5;2;3;5;3;3;3;4;4;5;5;3;5;4;4;3;4;6;3;4;7;3;3;4;4;3
CZ16_M_masc62;6;6;4;3;4;4;5;7;6;4;5;4;6;3;5;6;3;6;4;6;4;3;4;4;6;3;3;5;3;3;2;6;4;6;6;2;5;4;4;3;2;4;3;4;7;3;2;3;6;4
CZ16_M_masc63;5;3;2;2;4;4;5;5;5;3;5;5;5;2;6;4;2;4;3;5;3;3;3;3;5;5;2;5;3;3;2;6;3;4;5;4;5;2;3;1;3;4;5;5;7;5;2;2;4;5
CZ16_M_masc64;5;6;5;5;6;5;5;6;5;5;6;5;5;5;6;5;5;6;5;6;5;2;4;3;7;4;4;6;5;5;3;5;5;5;5;2;6;4;5;4;5;5;4;6;6;3;3;4;6;7
CZ16_M_masc65;4;6;4;4;5;4;6;6;3;5;4;5;4;4;4;5;4;5;5;5;4;3;3;2;4;3;5;6;2;3;4;4;5;5;5;2;6;3;4;3;5;5;3;5;6;3;2;4;3;6
CZ16_M_masc66;1;2;3;3;7;6;6;7;4;5;3;5;2;4;5;5;4;6;6;7;3;1;6;2;3;1;4;7;5;5;1;5;2;7;2;2;4;2;4;6;6;6;1;5;7;3;1;3;3;4
CZ16_M_masc67;4;5;5;2;2;5;6;5;4;3;4;5;3;5;5;5;4;3;2;6;3;1;4;1;1;4;2;7;6;3;4;5;2;4;6;3;3;4;5;5;7;5;4;3;7;4;4;3;5;5
CZ16_M_masc68;4;4;5;3;3;5;6;5;5;5;5;4;5;4;4;5;2;4;3;6;2;1;4;1;5;2;1;6;3;2;3;3;5;5;5;1;4;3;6;3;6;5;3;2;7;5;3;2;4;4
CZ16_M_masc69;2;5;4;1;3;4;4;5;3;4;4;4;3;4;4;4;4;4;3;5;4;1;4;2;4;1;1;5;3;3;1;4;4;5;2;2;4;4;4;3;4;4;3;4;5;5;3;3;4;2
CZ16_M_masc70;3;4;5;4;4;4;5;5;3;5;5;4;3;4;5;4;4;4;2;5;3;3;3;1;4;2;2;5;4;2;4;4;5;4;5;3;5;3;4;4;6;5;2;5;7;4;4;4;4;5
CZ16_M_masc71;3;6;6;6;4;5;4;6;5;5;4;5;4;6;6;5;2;4;4;6;5;1;4;2;5;2;5;4;2;2;2;2;6;6;2;2;6;3;4;4;6;5;2;5;7;2;1;5;4;2
CZ16_M_masc72;5;4;2;3;6;3;6;2;2;4;4;5;2;3;6;3;3;5;3;5;3;1;2;2;2;1;3;6;5;3;5;3;4;3;3;2;4;4;6;4;6;5;3;5;7;5;4;3;4;5
CZ16_M_masc73;6;4;5;5;7;6;5;6;4;6;7;7;5;6;7;4;6;5;7;6;4;7;4;3;6;3;6;5;6;4;6;5;5;5;5;6;6;4;7;3;7;7;6;7;6;7;6;7;5;5
CZ16_M_masc74;3;4;6;3;5;4;5;6;4;6;2;4;2;7;4;4;4;6;5;6;5;4;6;2;2;3;4;7;7;2;7;2;7;4;6;3;5;4;5;3;6;6;3;4;6;5;3;5;5;6
CZ16_M_masc75;3;5;5;3;3;5;6;6;3;4;5;4;4;1;5;4;4;6;3;6;3;1;4;1;4;1;1;7;6;2;4;4;2;5;3;2;5;5;5;2;4;6;3;7;7;2;1;2;4;3
CZ16_M_masc76;4;4;5;3;4;5;6;5;3;4;5;4;4;6;6;2;3;4;3;6;4;4;2;3;5;3;4;6;3;1;3;5;3;5;6;5;5;4;6;2;6;4;4;6;7;4;2;3;4;2
CZ16_M_masc77;2;3;4;4;3;3;4;4;3;4;3;3;2;4;2;4;4;3;5;6;5;1;6;2;4;1;2;6;5;3;2;2;4;5;3;1;3;5;6;3;5;5;3;5;7;3;3;4;4;4
CZ16_M_masc78;3;6;6;5;7;6;6;6;6;6;5;4;5;6;6;6;5;6;6;6;6;3;4;4;7;5;4;6;4;5;4;5;6;6;5;3;7;4;4;4;5;5;4;6;7;4;5;6;6;6
CZ16_M_masc79;3;5;4;5;3;4;5;4;3;4;3;3;4;3;4;4;3;3;3;4;3;1;3;2;4;1;2;4;2;2;4;4;4;4;4;2;5;3;5;3;5;4;2;4;6;2;2;4;3;5
CZ16_M_masc80;4;5;4;3;4;4;5;3;4;3;3;2;3;5;4;3;5;5;3;5;1;1;3;2;3;2;2;5;2;3;4;4;3;4;6;2;4;4;6;5;5;4;4;3;5;3;3;3;4;4
CZ16_M_masc81;6;6;6;3;6;6;5;6;5;7;4;2;2;6;6;3;3;3;4;5;5;2;2;2;4;3;2;5;3;2;6;4;5;5;5;2;7;3;5;2;3;4;6;6;7;2;2;3;3;5
CZ16_M_masc82;5;4;4;4;5;5;5;6;3;4;3;3;6;4;4;3;3;4;4;5;4;2;3;2;4;2;4;4;3;4;4;2;4;6;4;3;6;2;3;2;5;6;3;5;7;4;4;5;3;4
CZ16_M_masc83;5;5;4;3;6;5;6;7;4;5;7;4;4;4;6;4;1;5;5;3;2;6;1;2;7;2;1;5;5;2;4;7;3;3;4;1;7;4;3;1;6;3;6;7;7;2;1;3;2;3
CZ16_M_masc84;3;4;6;2;2;3;4;5;3;3;3;3;3;3;3;1;3;4;2;5;3;2;5;1;1;2;2;5;3;2;5;4;3;5;3;2;3;4;4;4;5;4;3;1;6;5;4;4;4;3
CZ16_M_masc85;5;3;5;2;4;4;6;1;6;4;2;4;4;6;6;6;6;2;5;3;2;5;6;2;2;4;1;6;4;3;5;4;2;3;6;1;4;6;7;5;7;2;3;3;7;2;2;1;6;2
CZ16_M_masc86;4;2;7;4;6;5;6;4;2;5;6;6;2;5;7;6;4;6;3;6;3;2;4;3;2;1;2;5;5;2;2;2;5;4;2;2;6;3;6;4;6;4;5;6;7;5;3;4;5;4
CZ16_M_masc87;2;6;3;4;4;4;7;7;5;4;5;5;6;4;4;4;3;7;4;6;6;3;3;1;3;2;6;6;4;3;2;4;5;6;3;3;5;2;4;2;7;6;1;5;7;3;1;5;3;2
CZ16_M_masc88;4;3;6;2;5;7;6;7;4;6;4;3;4;5;5;4;4;5;4;6;3;3;4;3;5;1;2;7;6;4;4;2;6;6;5;2;5;5;5;5;3;6;5;6;7;4;3;3;5;5
CZ16_M_masc89;5;5;4;4;6;5;7;7;4;6;6;5;5;6;7;5;5;5;6;6;6;5;6;4;6;3;5;7;6;4;5;5;6;7;5;5;7;4;6;5;6;7;5;6;7;5;3;4;5;7
CZ16_M_masc90;4;4;4;4;3;4;6;7;5;4;6;4;5;6;6;4;4;6;4;5;4;3;5;2;4;2;3;6;3;3;4;4;4;5;6;3;4;4;6;4;5;5;5;3;6;6;4;4;6;4
CZ16_M_masc91;3;5;4;2;4;5;5;5;4;3;4;4;6;4;5;3;3;4;3;5;4;2;3;2;5;1;1;6;4;2;3;4;5;6;4;3;4;3;5;3;5;5;5;4;7;4;3;4;4;2
CZ16_M_masc92;4;6;4;3;4;6;6;5;4;4;4;3;4;5;5;5;4;5;4;6;5;2;2;3;5;2;2;6;3;3;4;4;4;5;4;4;5;5;5;3;5;6;4;4;7;4;2;3;4;4
CZ16_M_masc93;3;3;2;2;2;3;4;3;3;2;2;2;3;3;4;3;2;3;2;4;2;1;3;2;3;1;2;4;2;3;2;2;2;3;3;3;3;2;3;2;3;3;2;2;7;2;2;1;4;2
CZ16_M_masc94;2;3;1;1;2;6;5;1;4;2;3;3;3;4;5;3;3;4;2;5;2;1;5;2;4;2;2;5;4;2;3;2;2;4;3;3;5;4;5;3;3;3;4;3;6;3;4;3;5;2
CZ16_M_masc95;5;6;3;2;2;5;6;6;3;3;5;3;5;3;5;4;2;3;3;3;2;3;4;1;4;2;2;6;2;3;3;5;3;6;6;3;5;3;4;3;5;3;3;4;7;4;5;3;6;5
CZ16_M_masc96;5;6;5;4;6;6;6;6;6;5;6;5;5;6;5;5;4;6;4;5;5;2;4;4;5;3;3;4;5;4;3;4;4;5;4;3;6;4;5;3;6;5;4;5;7;5;5;4;4;4
CZ16_M_masc97;5;4;5;4;6;6;4;4;4;4;6;5;5;4;5;3;5;5;3;6;4;3;4;2;4;1;4;6;3;4;2;5;3;5;2;4;5;4;5;3;7;5;2;5;7;4;4;3;6;5
CZ16_M_masc98;6;6;4;5;3;6;5;6;3;5;3;6;3;6;5;5;5;6;4;6;3;3;5;3;4;4;4;6;3;4;5;5;5;5;5;2;4;5;5;4;4;5;4;5;6;3;5;4;4;5
CZ16_M_masc99;6;5;5;4;6;6;5;7;4;5;5;5;5;5;6;5;2;6;5;5;4;4;4;2;6;3;4;7;4;4;5;5;6;6;6;5;7;5;5;3;5;6;3;7;7;6;3;4;5;6
CZ16_M_masc100;4;4;2;2;2;3;3;4;3;2;2;2;3;2;3;3;2;2;2;2;2;2;2;2;3;2;1;5;2;2;2;3;2;4;3;2;3;2;3;2;2;3;2;2;4;2;1;2;3;2
CZ16_M_masc101;5;4;6;5;5;5;5;5;4;5;5;6;4;5;4;4;5;4;4;5;4;4;5;4;3;3;4;5;5;3;3;4;6;5;4;3;4;5;4;4;6;4;4;5;7;4;4;4;4;5
CZ16_M_masc102;5;5;4;4;4;3;5;5;4;5;4;3;4;4;4;4;4;4;4;5;4;1;4;2;4;1;3;5;4;2;3;3;4;5;4;2;4;3;4;2;4;5;3;4;6;3;2;3;4;3
CZ16_M_masc103;2;2;5;5;4;4;3;5;2;5;4;3;2;5;1;2;1;3;2;3;4;2;3;3;2;2;3;4;5;3;6;4;4;3;2;4;4;4;4;1;4;5;3;4;5;2;4;4;1;5
CZ16_M_masc104;4;5;6;5;6;4;6;6;3;4;5;3;3;4;5;4;4;6;4;4;3;3;2;2;5;3;3;5;4;3;4;4;5;4;4;3;5;5;5;2;4;5;3;6;6;4;2;5;4;7
CZ16_M_masc105;2;5;2;2;3;4;5;4;4;2;3;1;4;4;2;3;2;3;2;4;3;1;1;2;3;1;2;5;2;2;2;3;3;5;3;2;4;2;2;2;1;6;2;2;5;2;2;4;4;2
CZ16_M_masc106;2;3;2;2;2;3;5;4;2;1;2;2;3;3;2;2;2;3;2;4;1;1;1;1;4;3;2;6;2;2;2;3;2;3;4;2;3;1;5;1;3;3;2;3;7;3;1;1;3;2
CZ16_M_masc107;2;3;5;2;3;4;2;3;3;3;3;5;3;3;4;2;2;2;2;4;2;1;3;1;2;2;2;4;2;3;1;3;2;3;2;1;4;2;3;3;3;3;4;2;7;4;1;2;2;2
