Rater;2;4;6;7;8;9;10;11;12;13;15;16;18;28;31;36;44;54;55;57;119;122;140;142;143;145;147;149;161;168;175;191;193;203;209;223;224;230;240;241;247;249;250;251;252;267;268;289;293;296;313;317;318;319;322;324;337;348;372;400;409;410;411;413;417;422;437;440;443;448;458;459;462;463;476;477;483;496;499;500;501;506;507;510;515;516;517;520;528;529;540
Tur_Masc16;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;4;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;6;;;;;;;;;;;;5
Tur_Masc17;;;;;;;;;;;;;;5;;;;2;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;4;;;3;
Tur_Masc18;;;;4;6;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;5;;;;;;;;;1;;;;;;
Tur_Masc19;;;;;;;;;;5;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;6;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;;
Tur_Masc20;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;6;;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;4;;;;;;
Tur_Masc21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;7;;;;;;;;;;2;;;;;;6;;;;;;;;;;;;;;;;;7;;;;7;;;;;;;;;;
Tur_Masc22;;;;;;;;;6;;;;;;3;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;;;;;;;7;;;;;;;;;;;;
Tur_Masc23;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;6;6;;5;;;;6;;;;;;;;;;;6;;;;;;;;;;;;;;;
Tur_Masc24;;;;5;;;;;;6;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_Masc25;;;;;5;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;4;;;;;5;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;4;;;;;;;;;
Tur_Masc26;;;;;;;;;;;;;;;;;;;;;;;6;;;5;;;;;;;;;;;;;;6;;;5;;;;;;;;;;;;;;;;;;;6;;;5;;;;;;;;;;;;6;;;;;;;;;;;;;;
Tur_Masc27;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;4;3;;;;;;;;;;;;;;;;6;;5;;;;;;;;;;;;;;;;;;;;;
Tur_Masc28;;;;4;;;;;;4;;;;;3;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;;;4;;;;;;;;;;;;
Tur_Masc29;;3;;;;;;;;4;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3;;;;;;;;;;;
Tur_Masc30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;4;6;;;;;;;;;4;;;;;;;;;;;;;;;;6
Tur_Masc31;;5;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;
Tur_Masc32;;;;;;;;;;;;;;;;;5;;;;7;;;;;;;;6;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;
Tur_Masc33;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;4;;;;;;;;;2;;;;;;;;;;;;;
Tur_Masc34;6;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;
Tur_Masc35;;;;;;;;;;;;;;;4;;5;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;2;;;;;;;;;2;
Tur_Masc36;;;;;;;;;;;;;;;;;7;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;7;;;4;;;3;;;;;;
Tur_Masc37;;;;;;;;4;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;5;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;
