Rater;22;23;29;33;37;39;43;46;47;53;61;62;65;66;69;73;115;116;120;132;135;137;153;154;156;176;178;185;188;200;205;206;219;227;232;238;258;275;282;286;303;307;309;310;334;340;341;345;355;366;380;382;398;419;429;441;444;447;452;453;454;456;457;460;465;468;470;473;474;475;484;486;490;492;493;497;502;503;505;513;514;521;523;526;527;532;533;534;535;536;537;539;542
Tur_F_fem11;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;7;;5;;;;;
Tur_F_fem12;;;3;;;;;;;;;;;;6;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;
Tur_F_fem13;;;;;;;;;;;;3;;5;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;6;;;;;;;;;;1;;;;;;;;;;
Tur_F_fem14;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;6;5;;5;;;;;;
Tur_F_fem15;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
Tur_F_fem16;;;;;;;;;;;;;;;;;5;;;;4;4;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_F_fem17;;;;;;;;;;3;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;3;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
Tur_F_fem18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;6;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;3;;;;;;;;;;;;;;;;;;
Tur_F_fem19;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;7;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;7;5;;;;;;;;;;;;;;;;;;;
Tur_F_fem20;;;;4;;;;;;;;4;;;;4;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_F_fem21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;7;;;7
Tur_F_fem22;;;;;;;;;;;7;;;;;;;;7;;;;;;4;6;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;7;;;;;;;;;;;;;;;;;;;;;;6;;;;;;7;;;;;;;;;
Tur_F_fem23;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;4;;;;;;;;;;;;;;7;;
Tur_F_fem24;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;6
Tur_F_fem25;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_F_fem26;;;;7;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;
