Culture_Year;Sex;ID;L_skin;L_iris;a_iris;b_iris;L_sclera;a_sclera;b_sclera;Age;Attr;SexT;Nat;Group;LOCAL_DIST;SexTypMeas;Asym
Cameroon_2013;M;ID30_2_M_CMR13_DSC_0151.jpg (Lab):L;25,659;5,211;4,537;0,881;36,051;9,364;14,307;23;2,785714286;6,103896104;CMR;Cameroon_2013 M;0,051940152;0,288051464;0,08051618
Cameroon_2013;M;ID31_2_M_CMR13_DSC_0155.jpg (Lab):L;20,513;4,322;2,775;-0,444;32,997;9,031;13,078;22;2,607142857;6,220779221;CMR;Cameroon_2013 M;0,05045883;1,919059046;0,065433759
Cameroon_2013;M;ID32_2_M_CMR13_DSC_0142.jpg (Lab):L;26,427;2,908;1,018;-0,727;35,983;11,46;12,619;25;3,5;5,883116883;CMR;Cameroon_2013 M;0,058481468;0,732587017;0,06977093
Cameroon_2013;M;ID45_2_M_CMR13_DSC_0220.jpg (Lab):L;22,981;3,55;3,33;0,625;26,851;10,413;9,788;23;3,071428571;5,818181818;CMR;Cameroon_2013 M;0,05235232;-0,364427729;0,076796718
Cameroon_2013;M;ID46_1_M_CMR13_DSC_0207.jpg (Lab):L;36,509;10,082;7,26;3,938;53,344;10,491;16,953;23;4,148148148;5,207792208;CMR;Cameroon_2013 M;0,034616991;0,251450364;0,079152687
Cameroon_2013;M;ID47_1_M_CMR13_DSC_0215.jpg (Lab):L;23,873;5,276;3,364;-0,398;44,063;8,792;12,603;23;4,107142857;5,909090909;CMR;Cameroon_2013 M;0,037687067;-0,298418633;0,069577898
Cameroon_2013;M;ID48_1_M_CMR13_DSC_0211.jpg (Lab):L;31,654;4,98;3,708;-1,267;43,819;9,068;11,621;17;4,821428571;5,142857143;CMR;Cameroon_2013 M;0,0507217;-0,933419498;0,066949636
Cameroon_2013;M;ID49_1_M_CMR13_DSC_0235.jpg (Lab):L;29,034;9,795;7,751;4,552;42,385;14,441;19,366;24;3,035714286;6,181818182;CMR;Cameroon_2013 M;0,071221666;0,367929771;0,082216375
Cameroon_2013;M;ID50_2_M_CMR13_DSC_0232.jpg (Lab):L;36,317;9,493;6,528;0,478;52,68;9,291;13,607;20;3,821428571;4,194805195;CMR;Cameroon_2013 M;0,045408132;-0,281872972;0,068387352
Cameroon_2013;M;ID51_1_M_CMR13_DSC_0223.jpg (Lab):L;35,587;3,824;2,837;-1,113;39,566;8,847;12,054;21;3,892857143;5,597402597;CMR;Cameroon_2013 M;0,059628054;-0,920725866;0,076698823
Cameroon_2013;M;ID57_2_M_CMR13_DSC_0260.jpg (Lab):L;28,879;4,566;3,627;-0,034;32,968;8,94;13,303;21;3,321428571;5,571428571;CMR;Cameroon_2013 M;0,050644162;-0,752332742;0,066034332
Cameroon_2013;M;ID58_1_M_CMR13_DSC_0267.jpg (Lab):L;31,142;5,38;3,491;-1,562;44,597;12,105;13,026;19;3,821428571;5,155844156;CMR;Cameroon_2013 M;0,053358246;-0,460554;0,095112921
Cameroon_2013;M;ID59_1_M_CMR13_DSC_0263.jpg (Lab):L;34,218;5,894;5,328;1,35;32,173;11,584;11,296;21;3,892857143;5,324675325;CMR;Cameroon_2013 M;0,040199263;0,325086177;0,09602452
